City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.9167,114.0833,5.26,56,97,5.19,RU,1686414307
1,catalina,32.5056,-110.9211,28.94,15,32,0.45,US,1686414307
2,kamenka,51.3223,42.7678,18.04,83,76,5.15,RU,1686414308
3,busselton,-33.65,115.3333,14.63,65,89,6.92,AU,1686414308
4,manta,-0.95,-80.7333,28.88,89,75,7.6,EC,1686414308
5,tutoia,-2.7619,-42.2744,30.34,61,7,5.07,BR,1686414308
6,huanren,41.2647,125.3667,12.82,99,100,0.4,CN,1686414308
7,ushuaia,-54.8,-68.3,4.81,75,20,9.26,AR,1686414063
8,vega de alatorre,20.0333,-96.6333,30.79,70,17,2.68,MX,1686414308
9,krumbach,48.2418,10.3632,24.75,79,39,4.03,DE,1686414308
10,dhidhdhoo,6.8833,73.1,28.95,79,87,7.54,MV,1686414309
11,qaanaaq,77.484,-69.3632,-2.5,63,78,1.64,GL,1686414309
12,lamar,33.6668,-95.5836,22.58,94,40,8.23,US,1686414309
13,mataura,-46.1927,168.8643,1.87,86,49,1.66,NZ,1686414309
14,caravelas,-17.7125,-39.2481,27.05,62,59,3.67,BR,1686414309
15,hobyo,5.3505,48.5268,26.92,82,65,12.6,SO,1686414309
16,bethel,41.3712,-73.414,22.9,55,20,3.09,US,1686414309
17,progreso,21.2833,-89.6667,32.28,56,5,2.58,MX,1686414310
18,kieta,-6.2167,155.6333,25.85,83,36,1.11,PG,1686414310
19,faanui,-16.4833,-151.75,26.39,68,100,6.72,PF,1686414310
20,kapaa,22.0752,-159.319,24.18,90,75,5.14,US,1686414310
21,jamestown,42.097,-79.2353,23.34,45,0,5.14,US,1686414050
22,sekondi,4.937,-1.7128,26.13,81,94,5.83,GH,1686414310
23,severo-kurilsk,50.6789,156.125,7.04,68,77,4.59,RU,1686414311
24,rikitea,-23.1203,-134.9692,21.61,60,65,5.38,PF,1686414311
25,saint-francois,46.4154,3.9054,24.82,60,0,2.06,FR,1686414311
26,albany,42.6001,-73.9662,21.43,59,23,0.45,US,1686414312
27,hobart,-42.8794,147.3294,11.92,75,67,4.63,AU,1686414017
28,san carlos de bariloche,-41.1456,-71.3082,1.86,60,75,5.14,AR,1686414312
29,barrow,71.2906,-156.7887,-2.99,86,100,8.23,US,1686414312
30,guerrero negro,27.9769,-114.0611,18.29,65,82,6.39,MX,1686414312
31,hilo,19.7297,-155.09,25.71,85,75,2.06,US,1686414021
32,new norfolk,-42.7826,147.0587,11.72,84,68,2.68,AU,1686414313
33,codrington,-38.2667,141.9667,11.02,90,60,4.32,AU,1686414313
34,carnarvon,-24.8667,113.6333,19.7,69,0,4.2,AU,1686414312
35,puerto escondido,15.85,-97.0667,32.46,62,75,3.09,MX,1686414313
36,dikson,73.5069,80.5464,2.2,88,100,4.1,RU,1686414313
37,tuktoyaktuk,69.4541,-133.0374,-1.0,93,100,7.2,CA,1686414313
38,praya,14.9215,-23.5087,31.3,51,0,7.72,CV,1686414313
39,mehamn,71.0357,27.8492,9.97,62,100,4.12,NO,1686414313
40,sabha,27.0377,14.4283,38.56,14,0,3.97,LY,1686414314
41,fortuna,40.5982,-124.1573,12.74,94,100,0.89,US,1686414163
42,poronaysk,49.2167,143.1167,8.06,98,100,2.41,RU,1686414314
43,hirara,24.8,125.2833,26.15,94,40,1.03,JP,1686414314
44,necochea,-38.5473,-58.7368,11.52,53,6,8.83,AR,1686414314
45,charters towers,-20.1,146.2667,15.18,89,1,3.1,AU,1686414314
46,bathsheba,13.2167,-59.5167,31.34,70,40,7.2,BB,1686414314
47,saint-philippe,-21.3585,55.7679,24.77,83,58,5.5,RE,1686414314
48,buala,-8.145,159.5921,26.47,83,86,2.73,SB,1686414314
49,hammerfest,70.6634,23.6821,11.25,58,0,3.6,NO,1686414315
50,lagunas,-5.2269,-75.6753,27.3,81,78,1.19,PE,1686414315
51,georgetown,5.4112,100.3354,28.96,85,20,0.51,MY,1686414315
52,vila velha,-20.3297,-40.2925,29.97,60,40,2.06,BR,1686414315
53,sibolga,1.7427,98.7792,25.34,90,75,1.15,ID,1686414315
54,berbera,10.4396,45.0143,33.43,58,98,0.87,SO,1686414315
55,katsuura,35.1333,140.3,21.24,96,100,1.92,JP,1686414315
56,cherskiy,68.75,161.3,11.27,44,25,1.32,RU,1686414315
57,alyangula,-13.8483,136.4192,22.14,84,36,4.54,AU,1686414315
58,east london,-33.0153,27.9116,17.14,58,1,1.76,ZA,1686414316
59,agucadoura,41.4318,-8.7804,24.06,80,18,2.93,PT,1686414316
60,cape town,-33.9258,18.4232,15.62,76,20,4.12,ZA,1686414300
61,san luis,-33.295,-66.3356,11.67,29,8,11.34,AR,1686414155
62,gallup,35.5281,-108.7426,20.01,18,0,2.57,US,1686414316
63,chokurdakh,70.6333,147.9167,17.27,49,100,2.64,RU,1686414259
64,bluff,-46.6,168.3333,6.76,79,89,3.87,NZ,1686414316
65,bouna,9.2667,-3.0,31.3,48,97,1.89,CI,1686414316
66,alta floresta,-9.8756,-56.0861,34.9,43,40,3.6,BR,1686414317
